rate_hz,time_s,mean_fleet_rms_error_m,std_fleet_rms_error_m,p95_fleet_rms_error_m,mean_centroid_error_m,std_centroid_error_m,p95_centroid_error_m,mean_shape_rms_error_m,std_shape_rms_error_m,p95_shape_rms_error_m
0,19.6,1.301194,0.3471829,1.827961,0.6001974,0.2574844,0.9312621,1.130294,0.3353381,1.607072
0,19.7,1.307901,0.3488588,1.83671,0.6032283,0.258886,0.9361701,1.136157,0.3368832,1.61508
0,19.8,1.314608,0.350529,1.845434,0.6062519,0.2602915,0.9410647,1.142021,0.3384235,1.62309
0,19.9,1.321324,0.352207,1.854145,0.6092738,0.2617007,0.9459671,1.147898,0.3399642,1.631089
0,20,1.328038,0.3538837,1.862844,0.6122941,0.2631134,0.9508952,1.153775,0.3414991,1.639064
0,20.1,1.33476,0.3555581,1.87153,0.615322,0.2645286,0.9558259,1.159656,0.3430283,1.647043
0,20.2,1.341483,0.3572389,1.880234,0.6183442,0.2659517,0.9607523,1.165541,0.3445608,1.655019
0,20.3,1.348199,0.3589269,1.888948,0.6213629,0.2673834,0.9656771,1.171419,0.3460944,1.662979
0,20.4,1.35491,0.3606053,1.897666,0.6243876,0.2688077,0.9705614,1.17729,0.3476207,1.670943
0,20.5,1.361617,0.3622822,1.906352,0.6274121,0.2702281,0.9754404,1.183157,0.349149,1.678879
0,20.6,1.368322,0.3639677,1.914976,0.6304336,0.2716446,0.9803199,1.189022,0.3506869,1.686841
0,20.7,1.375022,0.3656472,1.923581,0.6334503,0.2730587,0.985188,1.194884,0.3522222,1.694788
0,20.8,1.38172,0.3673331,1.932195,0.6364641,0.274473,0.9900745,1.200748,0.353758,1.702743
0,20.9,1.388415,0.369026,1.940803,0.6394733,0.2758933,0.9949604,1.20661,0.3552969,1.710718
0,21,1.395111,0.3707219,1.949369,0.6424829,0.277321,0.9998742,1.212473,0.3568299,1.718708
0,21.1,1.401807,0.3724097,1.957906,0.6454976,0.2787451,1.004803,1.218334,0.3583565,1.726702
0,21.2,1.408511,0.3740948,1.966478,0.6485109,0.2801718,1.009771,1.224203,0.359884,1.73469
0,21.3,1.415214,0.3757817,1.975068,0.6515248,0.2815953,1.014742,1.230072,0.3614129,1.742683
0,21.4,1.421912,0.3774791,1.983726,0.6545357,0.2830133,1.019747,1.235938,0.3629533,1.750671
0,21.5,1.428612,0.3791813,1.992424,0.6575486,0.2844231,1.024766,1.241807,0.3644963,1.758639
0,21.6,1.43531,0.3808778,2.001111,0.6605538,0.2858306,1.029807,1.247679,0.3660329,1.766575
0,21.7,1.442016,0.3825834,2.009869,0.6635564,0.2872376,1.034884,1.253561,0.3675809,1.77457
0,21.8,1.448718,0.3842906,2.018652,0.6665586,0.2886457,1.039953,1.259437,0.3691341,1.782569
0,21.9,1.455411,0.3860007,2.027455,0.669552,0.2900555,1.045022,1.265307,0.3706894,1.79055
0,22,1.462106,0.3877115,2.036242,0.6725505,0.2914695,1.050102,1.271177,0.3722418,1.798562
0,22.1,1.468792,0.3894287,2.045038,0.6755491,0.2928829,1.055186,1.277037,0.3738011,1.80656
0,22.2,1.475482,0.391149,2.053816,0.6785479,0.2942928,1.06026,1.282903,0.3753618,1.814569
0,22.3,1.482181,0.3928658,2.062626,0.681551,0.2957027,1.065334,1.288774,0.3769237,1.822575
0,22.4,1.488887,0.3945858,2.071432,0.6845527,0.2971137,1.070376,1.294654,0.3784899,1.830575
0,22.5,1.495591,0.3963113,2.080219,0.6875475,0.2985296,1.075426,1.300536,0.3800572,1.838589
0,22.6,1.502302,0.3980359,2.089029,0.6905401,0.2999395,1.080498,1.306428,0.3816271,1.846598
0,22.7,1.509022,0.39976,2.097833,0.6935258,0.3013448,1.085559,1.312335,0.3831971,1.854622
0,22.8,1.51575,0.4014844,2.106632,0.6965208,0.3027408,1.090637,1.318245,0.3847723,1.862625
